ingredients,glassType,alcoholic
"gin, grand marnier, lemon juice, grenadine",Cocktail glass,Alcoholic
"amaretto, baileys irish cream, cognac",Shot glass,Alcoholic
"gin, grenadine, heavy cream, milk, egg white",Martini Glass,Alcoholic
"151 proof rum, wild turkey",Shot glass,Alcoholic
"absolut vodka, gin, tonic water",Highball Glass,Alcoholic
"dark rum, lemon juice, grenadine",Cocktail glass,Alcoholic
"applejack, grapefruit juice",Cocktail glass,Alcoholic
"strawberry schnapps, orange juice, cranberry juice, club soda",Highball glass,Alcoholic
"vodka, pisang ambon, apple juice, lemon juice, lemonade",Highball glass,Alcoholic
"orange juice, grapefruit juice, apple juice, maraschino cherry",Collins Glass,Non alcoholic
"dark rum, kahlua, egg white",Cocktail glass,Alcoholic
"dark rum, peach nectar, orange juice",Highball glass,Alcoholic
"gin, vermouth",Martini Glass,Alcoholic
"gin, lemon juice, maraschino liqueur",Cocktail glass,Alcoholic
"applejack, triple sec, lemon juice",Cocktail glass,Alcoholic
"scotch, sweet vermouth, dry vermouth, orange bitters",Cocktail glass,Alcoholic
"light rum, triple sec, lime juice, sugar, egg white, mint",Old-fashioned glass,Alcoholic
"gin, creme de cacao, light cream, nutmeg",Cocktail glass,Alcoholic
"crown royal, kahlua, cream",Highball glass,Alcoholic
"dry vermouth, bourbon, blackberry brandy, lemon juice, lemon peel",Cocktail glass,Alcoholic
"campari, sweet vermouth, lemon peel, orange peel",Collins glass,Alcoholic
"blended whiskey, dry vermouth, pineapple juice",Cocktail glass,Alcoholic
"sweet vermouth, gin, bitters",Cocktail glass,Alcoholic
"grenadine, orange juice, pineapple juice",Highball Glass,Non alcoholic
"sweet vermouth, dry vermouth, soda water",Cocktail glass,Alcoholic
"baileys irish cream, grand marnier, kahlua",Shot glass,Alcoholic
"kahlua, sambuca, grand marnier",Collins Glass,Alcoholic
"orange bitters, green chartreuse, gin, sweet vermouth",Cocktail glass,Alcoholic
"gin, triple sec, lemon juice, grenadine, egg white",Whiskey sour glass,Alcoholic
"irish cream, goldschlager",Shot glass,Alcoholic
"champagne, peach schnapps",Champagne Flute,Alcoholic
"gin, lemon juice, sugar syrup, creme de mure",Old-Fashioned glass,Alcoholic
"scotch, sweet vermouth, dry vermouth, bitters",Cocktail glass,Alcoholic
"gin, triple sec, blue curacao, bitters, maraschino cherry, lemon peel",Cocktail glass,Alcoholic
"rye whiskey, dry vermouth, maraschino liqueur, angostura bitters, maraschino cherry",Cocktail glass,Alcoholic
